,0
1390,4.16E-05
1391,4.16E-05
1392,4.17E-05
1393,4.17E-05
1394,4.17E-05
1395,4.17E-05
1396,4.17E-05
1397,4.18E-05
1398,4.19E-05
1399,4.19E-05
1400,4.19E-05
1401,4.19E-05
1402,4.20E-05
1403,4.20E-05
1404,4.21E-05
1405,4.21E-05
1406,4.21E-05
1461,4.21E-05
1460,4.21E-05
1459,4.21E-05
1458,4.21E-05
1457,4.21E-05
1455,4.21E-05
1454,4.21E-05
1450,4.21E-05
1452,4.21E-05
1451,4.21E-05
1462,4.21E-05
1449,4.21E-05
1448,4.21E-05
1447,4.21E-05
1446,4.21E-05
1453,4.21E-05
1463,4.21E-05
1479,4.21E-05
1465,4.21E-05
1481,4.21E-05
1480,4.21E-05
1445,4.21E-05
1478,4.21E-05
1477,4.21E-05
1476,4.21E-05
1475,4.21E-05
1464,4.21E-05
1474,4.21E-05
1472,4.21E-05
1471,4.21E-05
1470,4.21E-05
1469,4.21E-05
1468,4.21E-05
1467,4.21E-05
1466,4.21E-05
1473,4.21E-05
1444,4.21E-05
1456,4.21E-05
1442,4.21E-05
1422,4.21E-05
1421,4.21E-05
1420,4.21E-05
1419,4.21E-05
1417,4.21E-05
1416,4.21E-05
1415,4.21E-05
1414,4.21E-05
1413,4.21E-05
1412,4.21E-05
1411,4.21E-05
1410,4.21E-05
1409,4.21E-05
1408,4.21E-05
1407,4.21E-05
1423,4.21E-05
1424,4.21E-05
1418,4.21E-05
1426,4.21E-05
1441,4.21E-05
1425,4.21E-05
1439,4.21E-05
1438,4.21E-05
1437,4.21E-05
1436,4.21E-05
1435,4.21E-05
1434,4.21E-05
1440,4.21E-05
1432,4.21E-05
1443,4.21E-05
1433,4.21E-05
1431,4.21E-05
1430,4.21E-05
1429,4.21E-05
1428,4.21E-05
1427,4.21E-05
1482,4.21E-05
1483,4.21E-05
1484,4.21E-05
1485,4.21E-05
1486,4.21E-05
1487,4.21E-05
1488,4.22E-05
1489,4.22E-05
1490,4.22E-05
1491,4.22E-05
1492,4.22E-05
1493,4.22E-05
1494,4.22E-05
1495,4.22E-05
1496,4.23E-05
1497,4.23E-05
